symbol,Date,Open,High,Low,Close,Adj Close,Volume
li,11/23/2020,41.48,44.18,40.860001,43.639999,43.639999,63691500
li,11/24/2020,47.580002,47.700001,41.5,43.959999,43.959999,64681300
li,11/25/2020,39.459999,41.830002,38.75,40.720001,40.720001,40985400
li,11/27/2020,40.279999,42.150002,38.279999,39.48,39.48,26503600
li,11/30/2020,38.529999,38.650002,35,35.990002,35.990002,29779800
li,12/1/2020,39.189999,39.349998,34.23,34.860001,34.860001,42380100
li,12/2/2020,31.98,35.700001,30.950001,34.75,34.75,43741900
li,12/3/2020,35.529999,36.580002,32.18,32.310001,32.310001,32565100
li,12/4/2020,30.76,32.119999,30.440001,30.530001,30.530001,51988700
li,12/7/2020,30.16,32.77,29.6,31.49,31.49,34831100
li,12/8/2020,33.77,34.740002,32.82,33.310001,33.310001,33169800
li,12/9/2020,34,34.599998,31.25,32.029999,32.029999,23729300
li,12/10/2020,31.459999,33.5,30.9,32.490002,32.490002,16466300
li,12/11/2020,32.200001,32.990002,31.059999,31.360001,31.360001,13625600
li,12/14/2020,31.74,32.099998,30.42,31.33,31.33,15147400
li,12/15/2020,31.860001,33.099998,31.25,32.150002,32.150002,18070300
li,12/16/2020,32.459999,32.483002,31.01,31.360001,31.360001,11821000
li,12/17/2020,31.469999,31.695,30.23,30.690001,30.690001,15188200
li,12/18/2020,31.01,32.25,30.719999,31.77,31.77,22147200
li,12/21/2020,31.164,33.700001,31.110001,32.860001,32.860001,20322600
li,12/22/2020,33.48,33.580002,30.629999,31.290001,31.290001,16996200
li,12/23/2020,31.290001,31.43,29.4,30.559999,30.559999,14670100
li,12/24/2020,30.290001,30.379999,29.139999,29.32,29.32,13413700
li,12/28/2020,29.746,29.789,26.879999,27.01,27.01,22950600
li,12/29/2020,27.309999,29,26.52,28.67,28.67,18394000
li,12/30/2020,29.27,29.440001,28.521,29.059999,29.059999,17018300
li,12/31/2020,29.360001,30.15,28.76,28.83,28.83,15562000
li,1/4/2021,30.34,33,29.610001,32.459999,32.459999,46632700
li,1/5/2021,32.400002,33.189999,30.450001,30.99,30.99,24022000
li,1/6/2021,31.200001,33.5,30.795,31.76,31.76,29997300
li,1/7/2021,32.974998,35.259998,32.849998,35.09,35.09,26228600
li,1/8/2021,37.099998,37.189999,33.189999,34.299999,34.299999,30247800
